,title,description,url,publishedAt,content,domain,topic,injuries,trades,retirements,draft,all-stars,playoffs,rookies,highlights,fantasy
580,"Anthony Davis: ""We tried to take advantage of the mismatches""","Anthony Davis: ""We tried to take advantage of the mismatches""",http://www.nba.com/video/2020/02/11/20200210-gametime-anthony-davis-postgame,2020-02-11T06:43:45Z,,nba.com,highlights,,,,,,,,,
581,Damion Lee (26 points) Highlights vs. Miami Heat,Damion Lee (26 points) Highlights vs. Miami Heat,http://www.nba.com/video/2020/02/11/0021900800-damion-lee-26-points-highlights-vs-miami-heat,2020-02-11T06:20:03Z,,nba.com,highlights,,,,,,,,,
582,Running Diary: Lakers 125 | Suns 100,"Below is a running diary of the Lakers’ game against the Phoenix Suns, taking you through game day from start to finish.",https://www.nba.com/lakers/news/200210-running-diary-lakers-suns,2020-02-11T06:10:22Z,"Copyright © 2020 NBA Media Ventures, LLC. All rights reserved.
 No portion of NBA.com may be duplicated, redistributed or manipulated in any form.
 This site is operated jointly by NBA and WarnerMedia. To opt out of the sale of your personal information as … [+563 chars]",nba.com,highlights,,,,,,,,,
583,Warriors Fall to Andre Iguodala and the Heat,"The Warriors made a run of it in the third quarter but ultimately didn’t have enough to keep up with the Heat in Monday’s 113-101 loss at Chase Center. After a nightmarish second quarter that included a 16-0 Miami run had the Warriors down by as many as 24, t…",https://www.nba.com/warriors/gameday/20200210/recap,2020-02-11T06:05:32Z,"The Warriors made a run of it in the third quarter but ultimately didnt have enough to keep up with the Heat in Mondays 113-101 loss at Chase Center. 
After a nightmarish second quarter that included a 16-0 Miami run had the Warriors down by as many as 24, t… [+1020 chars]",nba.com,highlights,,,,,,,,,
584,60-Second Recap: Miami Heat vs. Golden State Warriors,Golden State Warriors vs. Miami Heat - Game Highlights,http://www.nba.com/video/2020/02/11/0021900800-golden-state-warriors-vs-miami-heat-game-highlights,2020-02-11T06:03:50Z,,nba.com,highlights,,,,,,,,,
585,Pacers Struggling to Find Answers,"The losses, six in a row now, are becoming more and more difficult to explain. The coach and players pause, shake their heads and search for the right words, but struggle to come up with any answers beyond the obvious need to close out close games. Which intr…",https://www.nba.com/pacers/news/pacers-struggling-find-answers,2020-02-11T05:53:37Z,"The losses, six in a row now, are becoming more and more difficult to explain. The coach and players pause, shake their heads and search for the right words, but struggle to come up with any answers beyond the obvious need to close out close games. 
Which in… [+6758 chars]",nba.com,highlights,,,,,,,,,
586,Alley-oop dunk by Marquese Chriss in the fourth quarter,Alley-oop dunk by Marquese Chriss in the fourth quarter,http://www.nba.com/video/2020/02/11/0021900800-marquese-chriss-golden-state-warriors-miami-heat-dunk-4q,2020-02-11T05:37:55Z,,nba.com,highlights,,,,,,,,,
587,"The Roundup—Jazz outlast Mavs, win third straight","Another night, another tough victory for the Utah Jazz, who built a big first-half lead and then held on for a 123-119 road win over the Dallas Mavericks on Monday.         The Jazz (35-18) have now won three straight games and sit in fourth place in the West…",https://www.nba.com/jazz/news/roundup-jazz-outlast-mavs-win-third-straight,2020-02-11T05:37:22Z,"Another night, another tough victory for the Utah Jazz, who built a big first-half lead and then held on for a 123-119 road win over the Dallas Mavericks on Monday.
The Jazz (35-18) have now won three straight games and sit in fourth place in the Western Con… [+4646 chars]",nba.com,highlights,,,,,,,,,
588,Kyle Kuzma scores and draws the foul in the fourth quarter,Kyle Kuzma scores and draws the foul in the fourth quarter,http://www.nba.com/video/2020/02/11/0021900801-kyle-kuzma-los-angeles-lakers-phoenix-suns-2-pointer-4q,2020-02-11T05:33:32Z,,nba.com,highlights,,,,,,,,,
589,Block swatted by Torrey Craig in the fourth quarter,Block swatted by Torrey Craig in the fourth quarter,http://www.nba.com/video/2020/02/11/0021900799-torrey-craig-denver-nuggets-san-antonio-spurs-block-4q,2020-02-11T05:17:45Z,,nba.com,highlights,,,,,,,,,
590,Golden State Warriors with a 12-0 Run vs. Miami Heat,Golden State Warriors with a 12-0 Run vs. Miami Heat,http://www.nba.com/video/2020/02/11/0021900800-golden-state-warriors-12-0-run-vs-miami-heat,2020-02-11T05:16:27Z,,nba.com,highlights,,,,,,,,,
591,3-pointer by Jae Crowder in the second quarter,3-pointer by Jae Crowder in the second quarter,http://www.nba.com/video/2020/02/11/0021900800-jae-crowder-golden-state-warriors-miami-heat-3-pointer-2q,2020-02-11T05:11:55Z,,nba.com,highlights,,,,,,,,,
